text,model,type,origin
"Documento de Arrecadação do 5imp1es Naciona1
Receita Federa1 do Brasi1 DA5
Período de apuração [DATE] a [DATE]
Código de barras 85640000001234567890123456789012345678901234
Contribuinte: Empresa Exemp1o 104 LTDA CNPJ [CNPJ]
Programa Gerador do DA5",SimplesNacional,GuiaPagamento,synthetic
"Ministério da Fazenda Secretaria da Receita Federal do Brasil
Período de apuração [DATE] a [DATE]
Identificação do sujeito passivo [CNPJ]
Documento de Arrecadação de Receitas Federais
DARF código da receita 2089",DARF,GuiaPagamento,synthetic
"Presentes os sócios na sede da sociedade
Ata de reunião pauta 1 aprovação das contas
Contribuinte: Empresa Exemp1o 104 LTDA CNPJ [CNPJ]
Código de barras 85640000001234567890123456789012345678901234
Vencimento [DATE] va1or tota1 [MONEY]",Desconhecido,Desconhecido,synthetic
"1dentificação do sujeito passivo [CNPJ]
EFD 1CM5 1P1 número do recibo
5istema Púb1ico de Escrituração Digita1 5PED
Recibo de entrega de Escrituração Fisca1 Digita1
Contribuinte: Empresa Exemp1o 104 LTDA CNPJ [CNPJ]
Código de barras 85640000001234567890123456789012345678901234
Autenticação bancária 00000.00000 11111.111111 22222.222222",SPEDFiscal,Recibo,synthetic
"Vencimento [DATE] valor total [MONEY]
Código de barras 85640000001234567890123456789012345678901234
Período de apuração [DATE] a [DATE]
Autenticação bancária 00000.00000 11111.111111 22222.222222
Demonstrativo de Resultado
Demonstração de Resultado",DREMensal,Relatorio,synthetic
"Documento de Arrecadação do Simples Nacional
Programa Gerador do DAS
Código de barras 85640000001234567890123456789012345678901234
Receita Federal do Brasil DAS
Autenticação bancária 00000.00000 11111.111111 22222.222222
Período de apuração [DATE] a [DATE]",SimplesNacional,GuiaPagamento,synthetic
"Código de pagamento 2100
Ministério da Previdência Social
INSS Guia da Previdência Social GPS
Autenticação bancária 00000.00000 11111.111111 22222.222222
Código de barras 85640000001234567890123456789012345678901234",GuiaGPS,GuiaPagamento,synthetic
"Autenticação bancária 00000.00000 11111.111111 22222.222222
Identificação do sujeito passivo [CNPJ]
Adiantamento Salarial
Adiantamento
Código de barras 85640000001234567890123456789012345678901234
Declaro ter recebido a importância líquida",Contracheque,Recibo,synthetic
"Período de apuração [DATE] a [DATE]
Contribuinte: Empresa Exemplo 104 LTDA CNPJ [CNPJ]
Ata de reunião pauta 1 aprovação das contas
Presentes os sócios na sede da sociedade",Desconhecido,Desconhecido,synthetic
"Vencimento [DATE] valor total [MONEY]
Contribuinte: Empresa Exemplo 104 LTDA CNPJ [CNPJ]
Identificação do sujeito passivo [CNPJ]
Autenticação bancária 00000.00000 11111.111111 22222.222222
As partes acima identificadas têm entre si justo e contratado
Contrato de prestação de serviços cláusula primeira",Desconhecido,Desconhecido,synthetic
"Código de barras 85640000001234567890123456789012345678901234
Vencimento [DATE] valor total [MONEY]
Competência da guia FGTS Digital
Fundo de Garantia do Tempo de Serviço
GFD - Guia do FGTS Digital",FGTSDigital,GuiaPagamento,synthetic
"1dentificação do sujeito passivo [CNPJ]
Código de barras 85640000001234567890123456789012345678901234
Dec1aro ter recebido a importância 1íquida
Adiantamento
Adiantamento 5a1aria1",Contracheque,Recibo,synthetic
"Guia de Arrecadação
Código de barras 85640000001234567890123456789012345678901234
Estado do Rio Grande Do Sul
Identificação do sujeito passivo [CNPJ]
Guia de Arrecadação - GA
Contribuinte: Empresa Exemplo 104 LTDA CNPJ [CNPJ]",GARS,GuiaPagamento,synthetic
"Autenticação bancária 00000.00000 11111.111111 22222.222222
Período de apuração [DATE] a [DATE]
Declaro ter recebido a importância líquida
Adiantamento
Adiantamento Salarial",Contracheque,Recibo,synthetic
"Identificação do sujeito passivo [CNPJ]
Receita Federal do Brasil DAS
Documento de Arrecadação do Simples Nacional
Código de barras 85640000001234567890123456789012345678901234
Contribuinte: Empresa Exemplo 104 LTDA CNPJ [CNPJ]
Autenticação bancária 00000.00000 11111.111111 22222.222222
Programa Gerador do DAS",SimplesNacional,GuiaPagamento,synthetic
"DARF código da receita 2089
Contribuinte: Empresa Exemplo 104 LTDA CNPJ [CNPJ]
Código de barras 85640000001234567890123456789012345678901234
Documento de Arrecadação de Receitas Federais
Ministério da Fazenda Secretaria da Receita Federal do Brasil",DARF,GuiaPagamento,synthetic
"Período de apuração [DATE] a [DATE]
Código de barras 85640000001234567890123456789012345678901234
Demonstração de Resultado
Demonstrativo de Resultado
Autenticação bancária 00000.00000 11111.111111 22222.222222
Contribuinte: Empresa Exemplo 104 LTDA CNPJ [CNPJ]",DREMensal,Relatorio,synthetic
"Identificação do sujeito passivo [CNPJ]
Presentes os sócios na sede da sociedade
Vencimento [DATE] valor total [MONEY]
Autenticação bancária 00000.00000 11111.111111 22222.222222
Ata de reunião pauta 1 aprovação das contas",Desconhecido,Desconhecido,synthetic
"Programa Gerador do DAS
Documento de Arrecadação do Simples Nacional
Vencimento [DATE] valor total [MONEY]
Identificação do sujeito passivo [CNPJ]
Período de apuração [DATE] a [DATE]
Contribuinte: Empresa Exemplo 104 LTDA CNPJ [CNPJ]
Receita Federal do Brasil DAS",SimplesNacional,GuiaPagamento,synthetic
"Período de apuração [DATE] a [DATE]
Autenticação bancária 00000.00000 11111.111111 22222.222222
Recibo de entrega de Escrituração Fiscal Digital
EFD ICMS IPI número do recibo
Vencimento [DATE] valor total [MONEY]
Sistema Público de Escrituração Digital SPED",SPEDFiscal,Recibo,synthetic
"Competência da guia FGTS Digital
Fundo de Garantia do Tempo de Serviço
Identificação do sujeito passivo [CNPJ]
Contribuinte: Empresa Exemplo 104 LTDA CNPJ [CNPJ]
GFD - Guia do FGTS Digital
Vencimento [DATE] valor total [MONEY]
Autenticação bancária 00000.00000 11111.111111 22222.222222",FGTSDigital,GuiaPagamento,synthetic
"Autenticação bancária 00000.00000 11111.111111 22222.222222
Sistema Público de Escrituração Digital SPED
EFD ICMS IPI número do recibo
Identificação do sujeito passivo [CNPJ]
Recibo de entrega de Escrituração Fiscal Digital
Vencimento [DATE] valor total [MONEY]
Contribuinte: Empresa Exemplo 104 LTDA CNPJ [CNPJ]",SPEDFiscal,Recibo,synthetic
"Identificação do sujeito passivo [CNPJ]
Período de apuração [DATE] a [DATE]
Ministério da Fazenda Secretaria da Receita Federal do Brasil
DARF código da receita 2089
Vencimento [DATE] valor total [MONEY]
Documento de Arrecadação de Receitas Federais",DARF,GuiaPagamento,synthetic
"Bo1eto de contribuição assistencia1
5indicato dos empregados contribuição confederativa
Autenticação bancária 00000.00000 11111.111111 22222.222222
Cedente sindicato código do beneficiário
Vencimento [DATE] va1or tota1 [MONEY]",BoletoSindicato,GuiaPagamento,synthetic
"ISSQN Imposto Sobre Serviços de Qualquer Natureza
Guia de recolhimento municipal
Código de barras 85640000001234567890123456789012345678901234
Vencimento [DATE] valor total [MONEY]
Contribuinte: Empresa Exemplo 104 LTDA CNPJ [CNPJ]
Prefeitura de Porto Alegre",ISSPoa,GuiaPagamento,synthetic
"Contribuição previdenciária CONTRPREV
Documento de Arrecadação de Receitas Federais
Contribuinte: Empresa Exemplo 104 LTDA CNPJ [CNPJ]
IRRF - Rendimento do trabalho assalariado DCTFWeb
Vencimento [DATE] valor total [MONEY]",DCTFWEB,GuiaPagamento,synthetic
"Vencimento [DATE] va1or tota1 [MONEY]
Receita Federa1 do Brasi1 DA5
Programa Gerador do DA5
1dentificação do sujeito passivo [CNPJ]
Autenticação bancária 00000.00000 11111.111111 22222.222222
Documento de Arrecadação do 5imp1es Naciona1",SimplesNacional,GuiaPagamento,synthetic
"DARF código da receita 2089
Ministério da Fazenda Secretaria da Receita Federal do Brasil
Vencimento [DATE] valor total [MONEY]
Identificação do sujeito passivo [CNPJ]
Documento de Arrecadação de Receitas Federais",DARF,GuiaPagamento,synthetic
"As partes acima identificadas têm entre si justo e contratado
Identificação do sujeito passivo [CNPJ]
Código de barras 85640000001234567890123456789012345678901234
Contrato de prestação de serviços cláusula primeira
Contribuinte: Empresa Exemplo 104 LTDA CNPJ [CNPJ]",Desconhecido,Desconhecido,synthetic
"Autenticação bancária 00000.00000 11111.111111 22222.222222
Demonstrativo de Resultado
Código de barras 85640000001234567890123456789012345678901234
Demonstração de Resultado
Contribuinte: Empresa Exemplo 104 LTDA CNPJ [CNPJ]
Vencimento [DATE] valor total [MONEY]",DREMensal,Relatorio,synthetic
"Identificação do sujeito passivo [CNPJ]
Autenticação bancária 00000.00000 11111.111111 22222.222222
Documento de Arrecadação do Simples Nacional
Programa Gerador do DAS
Receita Federal do Brasil DAS
Vencimento [DATE] valor total [MONEY]",SimplesNacional,GuiaPagamento,synthetic
"Guia de reco1himento municipa1
Código de barras 85640000001234567890123456789012345678901234
Prefeitura de Porto A1egre
155QN 1mposto 5obre 5erviços de Qua1quer Natureza
Período de apuração [DATE] a [DATE]
Contribuinte: Empresa Exemp1o 104 LTDA CNPJ [CNPJ]
1dentificação do sujeito passivo [CNPJ]",ISSPoa,GuiaPagamento,synthetic
"Código de barras 85640000001234567890123456789012345678901234
Vencimento [DATE] va1or tota1 [MONEY]
155QN 1mposto 5obre 5erviços de Qua1quer Natureza
Contribuinte: Empresa Exemp1o 104 LTDA CNPJ [CNPJ]
Guia de reco1himento municipa1
Período de apuração [DATE] a [DATE]
Prefeitura de Porto A1egre",ISSPoa,GuiaPagamento,synthetic
"Vencimento [DATE] valor total [MONEY]
Autenticação bancária 00000.00000 11111.111111 22222.222222
Fundo de Garantia do Tempo de Serviço
Competência da guia FGTS Digital
GFD - Guia do FGTS Digital",FGTSDigital,GuiaPagamento,synthetic
"Vencimento [DATE] valor total [MONEY]
Pedido de compra ordem 4521
Código de barras 85640000001234567890123456789012345678901234
Quantidade 10 unidades descrição material de escritório
Contribuinte: Empresa Exemplo 104 LTDA CNPJ [CNPJ]",Desconhecido,Desconhecido,synthetic
"Código de barras 85640000001234567890123456789012345678901234
Contribuição previdenciária CONTRPREV
Autenticação bancária 00000.00000 11111.111111 22222.222222
IRRF - Rendimento do trabalho assalariado DCTFWeb
Documento de Arrecadação de Receitas Federais
Vencimento [DATE] valor total [MONEY]",DCTFWEB,GuiaPagamento,synthetic
"Competência da guia FGTS Digital
Fundo de Garantia do Tempo de Serviço
Autenticação bancária 00000.00000 11111.111111 22222.222222
Período de apuração [DATE] a [DATE]
GFD - Guia do FGTS Digital",FGTSDigital,GuiaPagamento,synthetic
"Período de apuração [DATE] a [DATE]
Adiantamento
Adiantamento Salarial
Declaro ter recebido a importância líquida
Contribuinte: Empresa Exemplo 104 LTDA CNPJ [CNPJ]",Contracheque,Recibo,synthetic
"Autenticação bancária 00000.00000 11111.111111 22222.222222
Prefeitura de Porto A1egre
1dentificação do sujeito passivo [CNPJ]
Guia de reco1himento municipa1
Código de barras 85640000001234567890123456789012345678901234
155QN 1mposto 5obre 5erviços de Qua1quer Natureza
Vencimento [DATE] va1or tota1 [MONEY]",ISSPoa,GuiaPagamento,synthetic
"Pedido de compra ordem 4521
Quantidade 10 unidades descrição material de escritório
Período de apuração [DATE] a [DATE]
Identificação do sujeito passivo [CNPJ]
Código de barras 85640000001234567890123456789012345678901234",Desconhecido,Desconhecido,synthetic
"Autenticação bancária 00000.00000 11111.111111 22222.222222
As partes acima identificadas têm entre si justo e contratado
Contrato de prestação de serviços cláusula primeira
Contribuinte: Empresa Exemplo 104 LTDA CNPJ [CNPJ]",Desconhecido,Desconhecido,synthetic
"Contribuição previdenciária CONTRPREV
Documento de Arrecadação de Receitas Federais
Vencimento [DATE] valor total [MONEY]
IRRF - Rendimento do trabalho assalariado DCTFWeb
Código de barras 85640000001234567890123456789012345678901234",DCTFWEB,GuiaPagamento,synthetic
"Vencimento [DATE] valor total [MONEY]
Documento de Arrecadação de Receitas Federais
Autenticação bancária 00000.00000 11111.111111 22222.222222
Contribuição previdenciária CONTRPREV
IRRF - Rendimento do trabalho assalariado DCTFWeb",DCTFWEB,GuiaPagamento,synthetic
"Ministério da Previdência Social
Código de barras 85640000001234567890123456789012345678901234
INSS Guia da Previdência Social GPS
Autenticação bancária 00000.00000 11111.111111 22222.222222
Identificação do sujeito passivo [CNPJ]
Código de pagamento 2100",GuiaGPS,GuiaPagamento,synthetic
"Código de barras 85640000001234567890123456789012345678901234
Demonstração de Resultado
Autenticação bancária 00000.00000 11111.111111 22222.222222
Demonstrativo de Resultado",DREMensal,Relatorio,synthetic
"Contribuinte: Empresa Exemplo 104 LTDA CNPJ [CNPJ]
GFD - Guia do FGTS Digital
Competência da guia FGTS Digital
Fundo de Garantia do Tempo de Serviço
Autenticação bancária 00000.00000 11111.111111 22222.222222",FGTSDigital,GuiaPagamento,synthetic
"1dentificação do sujeito passivo [CNPJ]
Vencimento [DATE] va1or tota1 [MONEY]
155QN 1mposto 5obre 5erviços de Qua1quer Natureza
Guia de reco1himento municipa1
Prefeitura de Porto A1egre
Contribuinte: Empresa Exemp1o 104 LTDA CNPJ [CNPJ]
Período de apuração [DATE] a [DATE]",ISSPoa,GuiaPagamento,synthetic
"Guia de recolhimento municipal
ISSQN Imposto Sobre Serviços de Qualquer Natureza
Identificação do sujeito passivo [CNPJ]
Código de barras 85640000001234567890123456789012345678901234
Prefeitura de Porto Alegre
Vencimento [DATE] valor total [MONEY]
Autenticação bancária 00000.00000 11111.111111 22222.222222",ISSPoa,GuiaPagamento,synthetic
"Receita Federal do Brasil DAS
Período de apuração [DATE] a [DATE]
Programa Gerador do DAS
Identificação do sujeito passivo [CNPJ]
Documento de Arrecadação do Simples Nacional",SimplesNacional,GuiaPagamento,synthetic
"Autenticação bancária 00000.00000 11111.111111 22222.222222
Vencimento [DATE] valor total [MONEY]
Documento de Arrecadação de Receitas Federais
IRRF - Rendimento do trabalho assalariado DCTFWeb
Contribuição previdenciária CONTRPREV
Código de barras 85640000001234567890123456789012345678901234
Período de apuração [DATE] a [DATE]",DCTFWEB,GuiaPagamento,synthetic
"1dentificação do sujeito passivo [CNPJ]
Contribuinte: Empresa Exemp1o 104 LTDA CNPJ [CNPJ]
DARF código da receita 2089
Ministério da Fazenda 5ecretaria da Receita Federa1 do Brasi1
Vencimento [DATE] va1or tota1 [MONEY]
Período de apuração [DATE] a [DATE]
Documento de Arrecadação de Receitas Federais",DARF,GuiaPagamento,synthetic
"Declaro ter recebido a importância líquida
Adiantamento
Período de apuração [DATE] a [DATE]
Contribuinte: Empresa Exemplo 104 LTDA CNPJ [CNPJ]
Adiantamento Salarial",Contracheque,Recibo,synthetic
"DARF código da receita 2089
Documento de Arrecadação de Receitas Federais
Autenticação bancária 00000.00000 11111.111111 22222.222222
Ministério da Fazenda Secretaria da Receita Federal do Brasil
Período de apuração [DATE] a [DATE]",DARF,GuiaPagamento,synthetic
"Código de barras 85640000001234567890123456789012345678901234
Autenticação bancária 00000.00000 11111.111111 22222.222222
Contribuição previdenciária CONTRPREV
Documento de Arrecadação de Receitas Federais
IRRF - Rendimento do trabalho assalariado DCTFWeb
Contribuinte: Empresa Exemplo 104 LTDA CNPJ [CNPJ]",DCTFWEB,GuiaPagamento,synthetic
"Ministério da Previdência Social
Código de barras 85640000001234567890123456789012345678901234
Autenticação bancária 00000.00000 11111.111111 22222.222222
Vencimento [DATE] valor total [MONEY]
Contribuinte: Empresa Exemplo 104 LTDA CNPJ [CNPJ]
Código de pagamento 2100
INSS Guia da Previdência Social GPS",GuiaGPS,GuiaPagamento,synthetic
"Documento de Arrecadação do Simples Nacional
Autenticação bancária 00000.00000 11111.111111 22222.222222
Receita Federal do Brasil DAS
Programa Gerador do DAS
Contribuinte: Empresa Exemplo 104 LTDA CNPJ [CNPJ]
Identificação do sujeito passivo [CNPJ]",SimplesNacional,GuiaPagamento,synthetic
"Sindicato dos empregados contribuição confederativa
Boleto de contribuição assistencial
Autenticação bancária 00000.00000 11111.111111 22222.222222
Vencimento [DATE] valor total [MONEY]
Código de barras 85640000001234567890123456789012345678901234
Cedente sindicato código do beneficiário",BoletoSindicato,GuiaPagamento,synthetic
"Demonstrativo de Resultado
Código de barras 85640000001234567890123456789012345678901234
Identificação do sujeito passivo [CNPJ]
Demonstração de Resultado",DREMensal,Relatorio,synthetic
"Recibo de entrega de Escrituração Fiscal Digital
Autenticação bancária 00000.00000 11111.111111 22222.222222
Sistema Público de Escrituração Digital SPED
Vencimento [DATE] valor total [MONEY]
EFD ICMS IPI número do recibo",SPEDFiscal,Recibo,synthetic
"Identificação do sujeito passivo [CNPJ]
Declaro ter recebido a importância líquida
Adiantamento
Contribuinte: Empresa Exemplo 104 LTDA CNPJ [CNPJ]
Adiantamento Salarial
Período de apuração [DATE] a [DATE]
Vencimento [DATE] valor total [MONEY]",Contracheque,Recibo,synthetic
"Prefeitura de Porto Alegre
ISSQN Imposto Sobre Serviços de Qualquer Natureza
Autenticação bancária 00000.00000 11111.111111 22222.222222
Código de barras 85640000001234567890123456789012345678901234
Contribuinte: Empresa Exemplo 104 LTDA CNPJ [CNPJ]
Período de apuração [DATE] a [DATE]
Guia de recolhimento municipal",ISSPoa,GuiaPagamento,synthetic
"EFD ICMS IPI número do recibo
Período de apuração [DATE] a [DATE]
Código de barras 85640000001234567890123456789012345678901234
Sistema Público de Escrituração Digital SPED
Recibo de entrega de Escrituração Fiscal Digital
Contribuinte: Empresa Exemplo 104 LTDA CNPJ [CNPJ]
Identificação do sujeito passivo [CNPJ]",SPEDFiscal,Recibo,synthetic
"Período de apuração [DATE] a [DATE]
Guia de Arrecadação
Estado do Rio Grande Do Sul
Guia de Arrecadação - GA
Código de barras 85640000001234567890123456789012345678901234",GARS,GuiaPagamento,synthetic
"Autenticação bancária 00000.00000 11111.111111 22222.222222
ISSQN Imposto Sobre Serviços de Qualquer Natureza
Identificação do sujeito passivo [CNPJ]
Contribuinte: Empresa Exemplo 104 LTDA CNPJ [CNPJ]
Código de barras 85640000001234567890123456789012345678901234
Guia de recolhimento municipal
Prefeitura de Porto Alegre",ISSPoa,GuiaPagamento,synthetic
"Ministério da Previdência Social
Identificação do sujeito passivo [CNPJ]
INSS Guia da Previdência Social GPS
Código de barras 85640000001234567890123456789012345678901234
Período de apuração [DATE] a [DATE]
Código de pagamento 2100",GuiaGPS,GuiaPagamento,synthetic
"Fundo de Garantia do Tempo de Serviço
Identificação do sujeito passivo [CNPJ]
GFD - Guia do FGTS Digital
Contribuinte: Empresa Exemplo 104 LTDA CNPJ [CNPJ]
Competência da guia FGTS Digital",FGTSDigital,GuiaPagamento,synthetic
"Contribuinte: Empresa Exemplo 104 LTDA CNPJ [CNPJ]
ISSQN Imposto Sobre Serviços de Qualquer Natureza
Vencimento [DATE] valor total [MONEY]
Guia de recolhimento municipal
Autenticação bancária 00000.00000 11111.111111 22222.222222
Prefeitura de Porto Alegre
Período de apuração [DATE] a [DATE]",ISSPoa,GuiaPagamento,synthetic
"DARF código da receita 2089
Autenticação bancária 00000.00000 11111.111111 22222.222222
1dentificação do sujeito passivo [CNPJ]
Documento de Arrecadação de Receitas Federais
Ministério da Fazenda 5ecretaria da Receita Federa1 do Brasi1
Período de apuração [DATE] a [DATE]",DARF,GuiaPagamento,synthetic
"Presentes os sócios na sede da sociedade
Ata de reunião pauta 1 aprovação das contas
Autenticação bancária 00000.00000 11111.111111 22222.222222
Período de apuração [DATE] a [DATE]
Vencimento [DATE] valor total [MONEY]",Desconhecido,Desconhecido,synthetic
"Autenticação bancária 00000.00000 11111.111111 22222.222222
Contribuição previdenciária CONTRPREV
Código de barras 85640000001234567890123456789012345678901234
Período de apuração [DATE] a [DATE]
Identificação do sujeito passivo [CNPJ]
Documento de Arrecadação de Receitas Federais
IRRF - Rendimento do trabalho assalariado DCTFWeb",DCTFWEB,GuiaPagamento,synthetic
"Contribuinte: Empresa Exemp1o 104 LTDA CNPJ [CNPJ]
1dentificação do sujeito passivo [CNPJ]
Demonstrativo de Resu1tado
Demonstração de Resu1tado",DREMensal,Relatorio,synthetic
"Período de apuração [DATE] a [DATE]
Contribuinte: Empresa Exemplo 104 LTDA CNPJ [CNPJ]
Identificação do sujeito passivo [CNPJ]
Demonstrativo de Resultado
Vencimento [DATE] valor total [MONEY]
Demonstração de Resultado",DREMensal,Relatorio,synthetic
"Contribuição previdenciária CONTRPREV
Vencimento [DATE] valor total [MONEY]
IRRF - Rendimento do trabalho assalariado DCTFWeb
Código de barras 85640000001234567890123456789012345678901234
Documento de Arrecadação de Receitas Federais
Autenticação bancária 00000.00000 11111.111111 22222.222222",DCTFWEB,GuiaPagamento,synthetic
"Identificação do sujeito passivo [CNPJ]
Sistema Público de Escrituração Digital SPED
Vencimento [DATE] valor total [MONEY]
Recibo de entrega de Escrituração Fiscal Digital
EFD ICMS IPI número do recibo
Autenticação bancária 00000.00000 11111.111111 22222.222222",SPEDFiscal,Recibo,synthetic
"Período de apuração [DATE] a [DATE]
5istema Púb1ico de Escrituração Digita1 5PED
Vencimento [DATE] va1or tota1 [MONEY]
EFD 1CM5 1P1 número do recibo
1dentificação do sujeito passivo [CNPJ]
Recibo de entrega de Escrituração Fisca1 Digita1
Código de barras 85640000001234567890123456789012345678901234",SPEDFiscal,Recibo,synthetic
"Contribuinte: Empresa Exemplo 104 LTDA CNPJ [CNPJ]
Declaro ter recebido a importância líquida
Adiantamento
Adiantamento Salarial
Período de apuração [DATE] a [DATE]
Vencimento [DATE] valor total [MONEY]
Autenticação bancária 00000.00000 11111.111111 22222.222222",Contracheque,Recibo,synthetic
"Guia de recolhimento municipal
ISSQN Imposto Sobre Serviços de Qualquer Natureza
Código de barras 85640000001234567890123456789012345678901234
Prefeitura de Porto Alegre
Vencimento [DATE] valor total [MONEY]",ISSPoa,GuiaPagamento,synthetic
"Competência da guia FGTS Digital
Identificação do sujeito passivo [CNPJ]
Vencimento [DATE] valor total [MONEY]
GFD - Guia do FGTS Digital
Autenticação bancária 00000.00000 11111.111111 22222.222222
Período de apuração [DATE] a [DATE]
Fundo de Garantia do Tempo de Serviço",FGTSDigital,GuiaPagamento,synthetic
"Recibo de entrega de Escrituração Fiscal Digital
Código de barras 85640000001234567890123456789012345678901234
Contribuinte: Empresa Exemplo 104 LTDA CNPJ [CNPJ]
Sistema Público de Escrituração Digital SPED
Identificação do sujeito passivo [CNPJ]
EFD ICMS IPI número do recibo
Vencimento [DATE] valor total [MONEY]",SPEDFiscal,Recibo,synthetic
"INSS Guia da Previdência Social GPS
Autenticação bancária 00000.00000 11111.111111 22222.222222
Código de pagamento 2100
Período de apuração [DATE] a [DATE]
Vencimento [DATE] valor total [MONEY]
Ministério da Previdência Social",GuiaGPS,GuiaPagamento,synthetic
"Código de barras 85640000001234567890123456789012345678901234
Identificação do sujeito passivo [CNPJ]
Boleto de contribuição assistencial
Cedente sindicato código do beneficiário
Vencimento [DATE] valor total [MONEY]
Sindicato dos empregados contribuição confederativa
Autenticação bancária 00000.00000 11111.111111 22222.222222",BoletoSindicato,GuiaPagamento,synthetic
"Demonstração de Resultado
Demonstrativo de Resultado
Autenticação bancária 00000.00000 11111.111111 22222.222222
Vencimento [DATE] valor total [MONEY]",DREMensal,Relatorio,synthetic
"Adiantamento Salarial
Período de apuração [DATE] a [DATE]
Declaro ter recebido a importância líquida
Identificação do sujeito passivo [CNPJ]
Adiantamento",Contracheque,Recibo,synthetic
"IRRF - Rendimento do trabalho assalariado DCTFWeb
Autenticação bancária 00000.00000 11111.111111 22222.222222
Contribuição previdenciária CONTRPREV
Documento de Arrecadação de Receitas Federais
Vencimento [DATE] valor total [MONEY]
Identificação do sujeito passivo [CNPJ]",DCTFWEB,GuiaPagamento,synthetic
"Código de barras 85640000001234567890123456789012345678901234
EFD ICMS IPI número do recibo
Contribuinte: Empresa Exemplo 104 LTDA CNPJ [CNPJ]
Recibo de entrega de Escrituração Fiscal Digital
Sistema Público de Escrituração Digital SPED",SPEDFiscal,Recibo,synthetic
"Identificação do sujeito passivo [CNPJ]
Adiantamento Salarial
Adiantamento
Declaro ter recebido a importância líquida
Código de barras 85640000001234567890123456789012345678901234",Contracheque,Recibo,synthetic
"Identificação do sujeito passivo [CNPJ]
Vencimento [DATE] valor total [MONEY]
Autenticação bancária 00000.00000 11111.111111 22222.222222
Programa Gerador do DAS
Documento de Arrecadação do Simples Nacional
Receita Federal do Brasil DAS",SimplesNacional,GuiaPagamento,synthetic
"Autenticação bancária 00000.00000 11111.111111 22222.222222
Período de apuração [DATE] a [DATE]
Demonstração de Resultado
Demonstrativo de Resultado",DREMensal,Relatorio,synthetic
"Vencimento [DATE] valor total [MONEY]
Documento de Arrecadação do Simples Nacional
Período de apuração [DATE] a [DATE]
Código de barras 85640000001234567890123456789012345678901234
Receita Federal do Brasil DAS
Programa Gerador do DAS",SimplesNacional,GuiaPagamento,synthetic
